x,y,z,aream2,_CLASE
-86.95554026,20.7382566,-5.1,34.919178,Corals
-86.95444526,20.73825631,-5.3,52.378202,Corals
-86.9555953,20.7383801,-5.1,261.893928,Corals
-86.95567467,20.73850964,-5,52.37882,Corals
-86.95565535,20.73887107,-5.1,34.919191,Corals
-86.9552711,20.7389794,-3.7,34.919055,Corals
-86.95577056,20.73905182,-4.7,34.919223,Corals
-86.95381104,20.73912359,-5.1,34.918546,Corals
-86.95575132,20.73916025,-4.5,52.378818,Corals
-86.95412756,20.73344257,-8,439.190822,Sediments
-86.95718351,20.73367198,-1.1,406.854672,Sediments
-86.954424,20.73410965,-7.5,410.096059,Sediments
-86.95403752,20.73395758,-7.9,1130.500733,Sediments
-86.95340341,20.73257114,-10.9,151.278932,Macroalgae
-86.9572431,20.73383482,-1.4,2171.788529,Macroalgae
-86.95671899,20.73011671,-6.1,554.942512,Corals
-86.9560256,20.73081869,MISS,147.067907,Corals
-86.9559707,20.73103259,-5.6,236.66473,Corals
-86.95498382,20.73132357,-8.2,69.83856,Corals
-86.95552904,20.73147364,MISS,285.575069,Corals
-86.95530288,20.73199357,-6.2,238.497926,Corals
-86.95505835,20.73256746,-6,1966.700331,Corals
-86.95484888,20.73291385,-6.6,69.838333,Corals
-86.95476561,20.73298913,-7.2,104.757397,Corals
-86.9545662,20.73316799,-5.9,229.372802,Corals
-86.95706204,20.73245319,-0.6,14876.87885,Corals
-86.95444883,20.73337848,-6.2,443.3592,Corals
-86.95762451,20.73366209,MISS,8.580336,Corals
-86.95746196,20.73365383,MISS,83.117775,Corals
-86.95704197,20.7335113,-2.1,328.038061,Corals
-86.95458307,20.73397424,-5.3,872.975615,Corals
-86.95512917,20.73449475,-5,3166.74483,Corals
-86.9565569,20.73033228,-6.1,139.679454,S&B
-86.95739835,20.7300652,-4.5,1693.627595,S&B
-86.95690932,20.73042549,-4.7,157.139903,S&B
-86.95634707,20.73045592,-6.1,340.677767,S&B
-86.95619056,20.73065748,-6,62.70049,S&B
-86.95580345,20.73124575,-5.9,738.333237,S&B
-86.95522216,20.73222806,-5.8,315.201287,S&B
-86.95496786,20.73251116,MISS,33.271817,S&B
-86.95824191,20.73262782,-2.6,139.681376,S&B
-86.95461295,20.73304764,-7.7,222.574753,S&B
-86.95700336,20.73338997,-2.8,44.622672,S&B
-86.95505715,20.73312203,-5.6,4003.070934,S&B
-86.95746296,20.73358285,-2.5,66.375377,S&B
-86.95722752,20.73351907,MISS,115.329037,S&B
-86.95485786,20.73388112,-5.6,5365.004973,S&B
-86.95268993,20.7345936,-9.9,100986.4938,Octocorals
-86.95584838,20.73090814,-7.3,34.919595,Corals
-86.95500631,20.73105049,-8.3,157.136852,Corals
-86.95500298,20.73148622,-8.3,34.91928,Corals
-86.95477242,20.73163073,-8.3,34.919194,Corals
-86.95450335,20.73206439,-8.3,34.919083,Corals
-86.95458016,20.73217284,-8.2,34.919105,Corals
-86.9545417,20.73228126,-8.3,34.919087,Corals
-86.954388,20.7323535,-8.6,34.919032,Corals
-86.95402302,20.73235341,-8.4,17.459453,Corals
-86.95469535,20.73238973,-8.3,34.919136,Corals
-86.95461848,20.73249814,-8.2,34.919105,Corals
-86.95442634,20.73264266,-8.3,34.919032,Corals
-86.95404211,20.73275099,-8.1,34.918896,Corals
-86.95404205,20.73293171,-8.6,34.918888,Corals
-86.95733556,20.73358099,-2.6,6.606655,Corals
-86.95350385,20.73397974,-8.4,34.918658,Corals
-86.96073341,20.73044841,MISS,6927.14706,Seagrass_com
-86.95962504,20.73015221,-0.6,1239.692797,Sediments
-86.95997443,20.73026646,-0.8,558.736654,Sediments
-86.95974378,20.73077469,-0.7,558.735029,Sediments
-86.95768256,20.73210874,-0.7,384.12189,Sediments
-86.95729542,20.73217992,-0.6,1097.829145,Sediments
-86.95697671,20.73237477,-0.8,436.498995,Sediments
-86.95565129,20.73416441,-4.4,230.1192,Sediments
-86.95537087,20.73440869,-4.5,175.250363,Sediments
-86.9603285,20.73041004,-0.9,855.568245,Macroalgae
-86.95614014,20.73100103,-5.8,359.323635,Macroalgae
-86.96019647,20.7310781,-0.8,205.20744,Macroalgae
-86.95785107,20.73091506,-0.6,1571.412821,Macroalgae
-86.95687376,20.73124145,MISS,750.778622,Macroalgae
-86.95648223,20.73122112,-4.2,1012.674199,Macroalgae
-86.95633065,20.73171671,-3.6,296.817686,Macroalgae
-86.95492805,20.73313469,-5.6,558.707045,Macroalgae
-86.95474185,20.73348987,-5.6,838.058585,Macroalgae
-86.95478199,20.73389062,-5.4,1047.572971,Macroalgae
-86.95496859,20.73419197,-5.6,310.780541,Macroalgae
-86.95602166,20.73414431,-4.4,418.186583,Macroalgae
-86.95899698,20.73043543,-0.3,87.301749,Corals
-86.95866986,20.73068971,-0.6,139.682301,Corals
-86.95713534,20.73121568,-1.9,69.840049,Corals
-86.95784069,20.73130998,-0.6,197.920409,Corals
-86.95769048,20.7312875,-1.5,261.901594,Corals
-86.95799559,20.73147019,-0.6,122.221082,Corals
-86.95560468,20.73156096,-6.2,860.318783,Corals
-86.95606523,20.73171858,MISS,1099.96856,Corals
